Instance,N,K,Name,Transitions,States,Time(ms),Failed,Method
BW,2,2,./results/models/BW/2-2/BW-2-2-10600-partial.pth,43,32,406,False,2-2
BW,2,3,./results/models/BW/2-2/BW-2-2-10600-partial.pth,48,35,332,False,2-2
BW,2,4,./results/models/BW/2-2/BW-2-2-10600-partial.pth,105,68,978,False,2-2
BW,2,5,./results/models/BW/2-2/BW-2-2-10600-partial.pth,131,84,1839,False,2-2
BW,2,6,./results/models/BW/2-2/BW-2-2-10600-partial.pth,247,146,4978,False,2-2
BW,2,7,./results/models/BW/2-2/BW-2-2-10600-partial.pth,323,187,8155,False,2-2
BW,2,8,./results/models/BW/2-2/BW-2-2-10600-partial.pth,398,227,11997,False,2-2
BW,2,9,./results/models/BW/2-2/BW-2-2-10600-partial.pth,487,275,17613,False,2-2
BW,2,10,./results/models/BW/2-2/BW-2-2-10600-partial.pth,581,325,24735,False,2-2
BW,2,11,./results/models/BW/2-2/BW-2-2-10600-partial.pth,683,379,25623,False,2-2
BW,2,12,./results/models/BW/2-2/BW-2-2-10600-partial.pth,796,438,37457,False,2-2
BW,2,13,./results/models/BW/2-2/BW-2-2-10600-partial.pth,911,499,50486,False,2-2
BW,2,14,./results/models/BW/2-2/BW-2-2-10600-partial.pth,1034,563,76033,False,2-2
BW,2,15,./results/models/BW/2-2/BW-2-2-10600-partial.pth,1171,635,84223,False,2-2
BW,3,2,./results/models/BW/2-2/BW-2-2-10600-partial.pth,196,130,3419,False,2-2
BW,3,3,./results/models/BW/2-2/BW-2-2-10600-partial.pth,362,228,8730,False,2-2
BW,3,4,./results/models/BW/2-2/BW-2-2-10600-partial.pth,424,271,13224,False,2-2
BW,3,5,./results/models/BW/2-2/BW-2-2-10600-partial.pth,479,310,16918,False,2-2
BW,3,6,./results/models/BW/2-2/BW-2-2-10600-partial.pth,789,481,37459,False,2-2
BW,3,7,./results/models/BW/2-2/BW-2-2-10600-partial.pth,663,426,34713,False,2-2
BW,3,8,./results/models/BW/2-2/BW-2-2-10600-partial.pth,790,504,50918,False,2-2
BW,3,9,./results/models/BW/2-2/BW-2-2-10600-partial.pth,804,526,53712,False,2-2
BW,3,10,./results/models/BW/2-2/BW-2-2-10600-partial.pth,971,626,77660,False,2-2
BW,3,11,./results/models/BW/2-2/BW-2-2-10600-partial.pth,891,587,69640,False,2-2
BW,3,12,./results/models/BW/2-2/BW-2-2-10600-partial.pth,940,621,74931,False,2-2
BW,3,13,./results/models/BW/2-2/BW-2-2-10600-partial.pth,989,655,81293,False,2-2
BW,3,14,./results/models/BW/2-2/BW-2-2-10600-partial.pth,1038,689,95892,False,2-2
BW,3,15,./results/models/BW/2-2/BW-2-2-10600-partial.pth,1087,723,105208,False,2-2
BW,4,2,./results/models/BW/2-2/BW-2-2-10600-partial.pth,860,565,66693,False,2-2
BW,4,3,./results/models/BW/2-2/BW-2-2-10600-partial.pth,1702,1062,253725,False,2-2
BW,4,4,./results/models/BW/2-2/BW-2-2-10600-partial.pth,2127,1364,409025,False,2-2
BW,4,5,./results/models/BW/2-2/BW-2-2-10600-partial.pth,10466,5722,9783869,False,2-2
BW,4,6,./results/models/BW/2-2/BW-2-2-10600-partial.pth,15001,8204,21576871,True,2-2
BW,4,7,./results/models/BW/2-2/BW-2-2-10600-partial.pth,15001,15001,9999,True,2-2
BW,4,8,./results/models/BW/2-2/BW-2-2-10600-partial.pth,15001,15001,9999,True,2-2
BW,4,9,./results/models/BW/2-2/BW-2-2-10600-partial.pth,15001,15001,9999,True,2-2
BW,4,10,./results/models/BW/2-2/BW-2-2-10600-partial.pth,15001,15001,9999,True,2-2
BW,4,11,./results/models/BW/2-2/BW-2-2-10600-partial.pth,15001,15001,9999,True,2-2
BW,4,12,./results/models/BW/2-2/BW-2-2-10600-partial.pth,15001,15001,9999,True,2-2
BW,4,13,./results/models/BW/2-2/BW-2-2-10600-partial.pth,15001,15001,9999,True,2-2
BW,4,14,./results/models/BW/2-2/BW-2-2-10600-partial.pth,15001,15001,9999,True,2-2
BW,4,15,./results/models/BW/2-2/BW-2-2-10600-partial.pth,15001,15001,9999,True,2-2
BW,5,2,./results/models/BW/2-2/BW-2-2-10600-partial.pth,4709,2646,1264917,False,2-2
BW,5,3,./results/models/BW/2-2/BW-2-2-10600-partial.pth,12914,7039,9461306,False,2-2
BW,5,4,./results/models/BW/2-2/BW-2-2-10600-partial.pth,15001,8530,15810921,True,2-2
BW,5,5,./results/models/BW/2-2/BW-2-2-10600-partial.pth,15001,15001,9999,True,2-2
BW,5,6,./results/models/BW/2-2/BW-2-2-10600-partial.pth,15001,15001,9999,True,2-2
BW,5,7,./results/models/BW/2-2/BW-2-2-10600-partial.pth,15001,15001,9999,True,2-2
BW,5,8,./results/models/BW/2-2/BW-2-2-10600-partial.pth,15001,15001,9999,True,2-2
BW,5,9,./results/models/BW/2-2/BW-2-2-10600-partial.pth,15001,15001,9999,True,2-2
BW,5,10,./results/models/BW/2-2/BW-2-2-10600-partial.pth,15001,15001,9999,True,2-2
BW,5,11,./results/models/BW/2-2/BW-2-2-10600-partial.pth,15001,15001,9999,True,2-2
BW,5,12,./results/models/BW/2-2/BW-2-2-10600-partial.pth,15001,15001,9999,True,2-2
BW,5,13,./results/models/BW/2-2/BW-2-2-10600-partial.pth,15001,15001,9999,True,2-2
BW,5,14,./results/models/BW/2-2/BW-2-2-10600-partial.pth,15001,15001,9999,True,2-2
BW,5,15,./results/models/BW/2-2/BW-2-2-10600-partial.pth,15001,15001,9999,True,2-2
BW,6,2,./results/models/BW/2-2/BW-2-2-10600-partial.pth,15001,9068,18783369,True,2-2
BW,6,3,./results/models/BW/2-2/BW-2-2-10600-partial.pth,15001,15001,9999,True,2-2
BW,6,4,./results/models/BW/2-2/BW-2-2-10600-partial.pth,15001,15001,9999,True,2-2
BW,6,5,./results/models/BW/2-2/BW-2-2-10600-partial.pth,15001,15001,9999,True,2-2
BW,6,6,./results/models/BW/2-2/BW-2-2-10600-partial.pth,15001,15001,9999,True,2-2
BW,6,7,./results/models/BW/2-2/BW-2-2-10600-partial.pth,15001,15001,9999,True,2-2
BW,6,8,./results/models/BW/2-2/BW-2-2-10600-partial.pth,15001,15001,9999,True,2-2
BW,6,9,./results/models/BW/2-2/BW-2-2-10600-partial.pth,15001,15001,9999,True,2-2
BW,6,10,./results/models/BW/2-2/BW-2-2-10600-partial.pth,15001,15001,9999,True,2-2
BW,6,11,./results/models/BW/2-2/BW-2-2-10600-partial.pth,15001,15001,9999,True,2-2
BW,6,12,./results/models/BW/2-2/BW-2-2-10600-partial.pth,15001,15001,9999,True,2-2
BW,6,13,./results/models/BW/2-2/BW-2-2-10600-partial.pth,15001,15001,9999,True,2-2
BW,6,14,./results/models/BW/2-2/BW-2-2-10600-partial.pth,15001,15001,9999,True,2-2
BW,6,15,./results/models/BW/2-2/BW-2-2-10600-partial.pth,15001,15001,9999,True,2-2
BW,7,2,./results/models/BW/2-2/BW-2-2-10600-partial.pth,15001,15001,9999,True,2-2
BW,7,3,./results/models/BW/2-2/BW-2-2-10600-partial.pth,15001,15001,9999,True,2-2
BW,7,4,./results/models/BW/2-2/BW-2-2-10600-partial.pth,15001,15001,9999,True,2-2
BW,7,5,./results/models/BW/2-2/BW-2-2-10600-partial.pth,15001,15001,9999,True,2-2
BW,7,6,./results/models/BW/2-2/BW-2-2-10600-partial.pth,15001,15001,9999,True,2-2
BW,7,7,./results/models/BW/2-2/BW-2-2-10600-partial.pth,15001,15001,9999,True,2-2
BW,7,8,./results/models/BW/2-2/BW-2-2-10600-partial.pth,15001,15001,9999,True,2-2
BW,7,9,./results/models/BW/2-2/BW-2-2-10600-partial.pth,15001,15001,9999,True,2-2
BW,7,10,./results/models/BW/2-2/BW-2-2-10600-partial.pth,15001,15001,9999,True,2-2
BW,7,11,./results/models/BW/2-2/BW-2-2-10600-partial.pth,15001,15001,9999,True,2-2
BW,7,12,./results/models/BW/2-2/BW-2-2-10600-partial.pth,15001,15001,9999,True,2-2
BW,7,13,./results/models/BW/2-2/BW-2-2-10600-partial.pth,15001,15001,9999,True,2-2
BW,7,14,./results/models/BW/2-2/BW-2-2-10600-partial.pth,15001,15001,9999,True,2-2
BW,7,15,./results/models/BW/2-2/BW-2-2-10600-partial.pth,15001,15001,9999,True,2-2
BW,8,2,./results/models/BW/2-2/BW-2-2-10600-partial.pth,15001,15001,9999,True,2-2
BW,8,3,./results/models/BW/2-2/BW-2-2-10600-partial.pth,15001,15001,9999,True,2-2
BW,8,4,./results/models/BW/2-2/BW-2-2-10600-partial.pth,15001,15001,9999,True,2-2
BW,8,5,./results/models/BW/2-2/BW-2-2-10600-partial.pth,15001,15001,9999,True,2-2
BW,8,6,./results/models/BW/2-2/BW-2-2-10600-partial.pth,15001,15001,9999,True,2-2
BW,8,7,./results/models/BW/2-2/BW-2-2-10600-partial.pth,15001,15001,9999,True,2-2
BW,8,8,./results/models/BW/2-2/BW-2-2-10600-partial.pth,15001,15001,9999,True,2-2
BW,8,9,./results/models/BW/2-2/BW-2-2-10600-partial.pth,15001,15001,9999,True,2-2
BW,8,10,./results/models/BW/2-2/BW-2-2-10600-partial.pth,15001,15001,9999,True,2-2
BW,8,11,./results/models/BW/2-2/BW-2-2-10600-partial.pth,15001,15001,9999,True,2-2
BW,8,12,./results/models/BW/2-2/BW-2-2-10600-partial.pth,15001,15001,9999,True,2-2
BW,8,13,./results/models/BW/2-2/BW-2-2-10600-partial.pth,15001,15001,9999,True,2-2
BW,8,14,./results/models/BW/2-2/BW-2-2-10600-partial.pth,15001,15001,9999,True,2-2
